Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-05-18;Palencia;13830;432;6628;826;34120;20458;1258;3.123644251626898;12.462281231140615;6.1491836934206665;PA
2020-05-18;Salamanca;22427;1748;15824;2821;37274;38251;4569;7.794176662059125;17.827350859453993;11.944785757235104;SA
2020-05-18;Soria;15046;1444;4447;1015;42173;19493;2459;9.597235145553636;22.824375983809308;12.614784794541631;SO
2020-05-19;Burgos;29119;1502;13198;1884;9059;42317;3386;5.158144167038703;14.27489013486892;8.001512394545927;BU
2020-05-19;Salamanca;23779;1826;15982;2823;37274;39761;4649;7.67904453509399;17.663621574271055;11.692361862126203;SA
2020-05-19;Valladolid;33734;1325;39833;4793;47186;73567;6118;3.927787988379676;12.032736675620717;8.316228743866136;VA
2020-05-20;Ávila;19545;1149;7717;1629;5019;27262;2778;5.87874136607828;21.109239341713103;10.190008069840804;AV
2020-05-20;Burgos;30005;1572;13673;1884;9059;43678;3456;5.239126812197966;13.778980472463981;7.912450203763909;BU
2020-05-20;León;28877;1786;21704;2561;24089;50581;4347;6.184852997194999;11.799668263914485;8.594136138075562;LE
2020-05-20;Palencia;15794;493;6993;836;34120;22787;1329;3.1214385209573257;11.954811954811955;5.8322727871154605;PA
2020-05-20;Salamanca;24973;1875;16063;2824;37274;41036;4699;7.508108757458054;17.58077569569819;11.450921142411541;SA
2020-05-20;Zamora;21174;1255;6084;612;49275;27258;1867;5.927080381600076;10.059171597633137;6.849365323941595;ZA
2020-05-20;Castilla y León;207884;12899;130363;18506;99999;338247;31405;6.20490273421716;14.195745725397543;9.284635192625508;CyL
2020-05-21;Ávila;20212;1184;7827;1629;5019;28039;2813;5.8579061943399955;20.812571866615563;10.032454795106815;AV
2020-05-21;Palencia;16524;529;7159;838;34120;23683;1367;3.2014040183974823;11.70554546724403;5.772072794831736;PA
2020-05-21;Soria;16269;1506;4785;1026;42173;21054;2532;9.25686889175733;21.442006269592476;12.026218295810773;SO
2020-05-21;Zamora;23248;1299;6249;612;49275;29497;1911;5.587577426015141;9.793566970715315;6.478624944909652;ZA
2020-05-22;Burgos;32447;1694;14477;1898;9059;46924;3592;5.220821647609949;13.11045106030255;7.654931378399113;BU
2020-05-22;León;30727;1927;22967;2572;24089;53694;4499;6.27135743808377;11.198676361736403;8.378962267664916;LE
2020-05-22;Salamanca;28010;2004;17324;2847;37274;45334;4851;7.154587647268833;16.433848995613022;10.70057793267746;SA
2020-05-22;Segovia;16961;1949;13508;2343;40004;30469;4292;11.491067743647191;17.34527687296417;14.086448521448029;SE
2020-05-23;Ávila;21405;1226;8082;1631;5019;29487;2857;5.727633730436814;20.18064835436773;9.689015498355207;AV
2020-05-23;Burgos;32469;1694;14861;1902;9059;47330;3596;5.21728417875512;12.798600363367202;7.597718149165435;BU
2020-05-24;Burgos;32475;1694;15081;1903;9059;47556;3597;5.216320246343341;12.618526622902989;7.563714357809741;BU
2020-05-24;León;31051;1938;23464;2574;24089;54515;4512;6.24134488422273;10.96999659052165;8.276621113455013;LE
2020-05-24;Salamanca;28246;2009;17895;2861;37274;46141;4870;7.112511506053955;15.987706063146131;10.554604364881559;SA
2020-05-24;Valladolid;38884;1613;42148;4830;47186;81032;6443;4.1482357782121175;11.459618487235455;7.951179780827328;VA
2020-05-24;Castilla y León;228761;13955;139751;18635;99999;368512;32590;6.1002531025830455;13.334430522858511;8.843674018756513;CyL
2020-05-25;Ávila;22078;1264;8302;1633;5019;30380;2897;5.725156264154362;19.66995904601301;9.535878867676102;AV
2020-05-25;Palencia;18069;557;7646;844;34120;25715;1401;3.08262770490896;11.03845147789694;5.448181994944585;PA
2020-05-25;Zamora;25407;1365;6663;612;49275;32070;1977;5.3725351281143;9.185051778478163;6.164639850327409;ZA
2020-05-25;Castilla y León;236431;14374;141465;18652;99999;377896;33026;6.079575013428865;13.184886721097092;8.739441539471176;CyL
2020-05-26;Palencia;18653;585;7846;852;34120;26499;1437;3.136224735967405;10.85903645169513;5.4228461451375525;PA
